ABCC1
ABCC10
ABI2
ACAP1
ACOT11
ACSBG1
ADA
ADCY9
ADGRD1
AGO2
AJAP1
AJAP1
AJAP1
AJAP1
ALDH1A2
AQP3
ARSB
ARSD
ARSD
ASAP2
ATF3
AUTS2
BANK1
BANK1
BANK1
BCAT1
BCL11B
BCL11B
BEX2
BEX3
BIN2
BLNK
BTK
C10orf10
C4orf32
CAB39
CACNB3
CAMK4
CAPN3
CAPN3
CCDC50
CCR10
CD19
CD1A
CD22
CD22
CD24
CD24
CD24
CD24
CD28
CD3D
CD3E
CD3G
CD5
CD58
CD6
CD7
CD7
CD72
CD74
CD79A
CD79A
CD79B
CD9
CDK14
CDK5RAP3
CDKN1A
CEMP1
CEP128
CFAP58
CHD7
CHD7
CHI3L2
CHPT1
CHRM4
CHST15
CHST15
CIB2
CIITA
CLDN5
CLEC14A
CLGN
CLIP3
CLN8
CNOT6
CPM
CRIPAK
CSRP2
CSRP2
CTBP2
CTBP2
CTBP2
CTBP2
CTBP2
CTGF
CTNNA1
CUL1
CUL1
CXADR
CXADR
CXorf57
CYP4F2
DACT1
DENND2D
DENND3
DENND6B
DLST
DMRTC1B///DMRTC1
DOK3
DPY19L2
DPY19L2
DRAM1
DSG2
DYNLT1
EBF1
EBF1
EBF1
EBF1
EFNB1
EGLN1
ELK4
ELL3
ELL3
ELOVL4
ENG
ENO2
ENOSF1
EPHB6
ERN1
ERN1
ETS1
ETS1
EZR
FAM107B
FAM107B
FAM117A
FAM129C
FAM129C
FAM150B
FAM226B///FAM226A
FAM49A
FAM49A
FAM69B
FBLIM1
FIBIN
FLJ20021
FLJ30901///SCUBE1
FMNL2
FOXO1
FOXO1
FSTL1
FYB
FYB
GAB1
GAB1
GAB1
GALNT14
GAS2L3
GBP4
GGA2
GGA2
GGA2
GGA2
GGA2
GGA2
GH2///GH1///CSHL1///CSH1
GNG7
GNG7
GNPDA1
GPR132
GPR17
GRAP2
GRB10
GRB10
GRK3
GUCY1B2
HBEGF
HCG26
HCP5
HIST3H2A
HIVEP3
HLA-DMA
HLA-DMB
HLA-DOA
HLA-DPA1
HLA-DPA1
HLA-DPA1
HLA-DPB1
HLA-DPB1
HLA-DRA
HLA-DRA
HLA-DRB1
HN1
HN1
HNRNPA1
HNRNPLL
HNRNPLL
HNRNPLL
HOOK3
HOOK3
HOOK3
HTRA3
ICOS
ICOSLG
ID2
IGFBP5
IGFBP7
IGHM
IGHM
IGHV5-78
IGSF10
IL23A///TRBV19
IL32
IL3RA
IL6ST
INSR
IRS2
ITGA1
ITGB2-AS1
ITK
ITPR2
JAM3
JUP
KCNH2
KCNK5
KCTD1
KCTD1
KIAA0040
KIAA1033
KIAA1644
KIAA1644
KIF16B
KIF16B
KLF2
KLF2
KLHL2
KRT23
LAMC1
LAMC1
LAPTM5
LAPTM5
LARGE1
LAT
LAT
LCK
LCK
LCN6
LDOC1L
LEF1-AS1
LILRA2
LILRA2
LILRA2
LILRB1
LIME1
LINC01013
LINC01013
LINC01120
LINC01550
LOC100129034
LOC100130458
LOC100505564
LOC100506844
LOC100996809///HLA-DRB4///HLA-DRB1
LOC101060835///HLA-DQB1
LOC101060835///HLA-DQB1
LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1
LOC101060835///LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB1///HLA-DQB1
LOC101927933///LRRC8C
LOC101928274///VSIG10
LOC101928274///VSIG10
LOC101928274///VSIG10
LOC101928519
LOC101928635///ALDH1A2
LOC101928841
LOC101928937
LOC101929709
LOC102724094
LOC339803
LOC440864///MSH6
LPP
LRP12
LRP12
LRP12
LRRK1
LRRK1
LTK
LY86
LZTS1
MACROD2
MACROD2
MAG
MAL
MAP3K5
MAP3K5
MAP4K2
MAP9
MAP9
MARCH3
MB21D1
MBNL2
MBP
MBP
MBTPS2
MEF2C
MEF2C
MEF2C
MFAP4
MGC12916
MILR1
MIR424///MIR503HG
MIR4697///MIR4697HG
MIR7114///NSMF
MKRN3
MOB3B
MS4A4A
MSH6
MUC3
MYLIP
MYO10
MYO10
MYO1G
MYO7B
NARR///RAB34
NARR///RAB34
NAV1
NDFIP1
NDST3
NECTIN2
NF2
NKX3-1
NOTCH1
NRL
NUDCD2
OCIAD2
OGFRL1
OGFRL1
OGFRL1
ORF1
P2RY1
PAOX
PAX5
PCAT18
PCDHB2
PCYT1B
PDE4B
PDE4B
PDK1
PELO
PEX5
PEX5L
PEX5L
PEX5L
PGGHG
PHACTR1
PHACTR1
PHLPP1
PIK3AP1
PIK3AP1
PIK3R3
PIP4K2C
PLCG1
PLCG2
PLCG2
PLCL2
PLVAP
POLI
PPFIBP1
PPFIBP1
PPP1R1C
PPP3CA
PPP3CA
PPP3CA
PPT2-EGFL8///EGFL8///PPT2
PRKCQ
PRKCQ
PRKCQ-AS1
PRKCQ-AS1
PRKX
PSD3
PSD3
PSD3
PTCRA
PTK2
PTPN12
PTPN3
PXK
PXK
PXK
PXYLP1
RAB30
RAB32
RAB5C
RAG2
RALGDS
RASSF3
RASSF3
RASSF3
RDX
REEP3
REEP5
RGL1
